agent_type,scenario,reward_per_1199_mean,reward_per_1199_sem
"Hypothetical
 Minds",0,628.2760000000001,35.07971573431006
"Hypothetical
 Minds",1,498.784,78.22039283971922
"Hypothetical
 Minds",2,426.84400000000005,42.49266826171311
PPO,0,244.0,76.05845705040886
PPO,1,86.0,28.913664589601918
PPO,2,0.0,0.0
PlanReAct,0,402.86400000000003,70.077421584987
PlanReAct,1,455.62,55.72448438523231
PlanReAct,2,292.55600000000004,36.68234638078649
ReAct,0,225.41199999999998,59.997940831331874
ReAct,1,254.18800000000002,39.11019641985962
ReAct,2,383.68,21.448364040177964
Reflexion,0,292.556,38.21783112632113
Reflexion,1,402.86400000000003,64.96765761515495
Reflexion,2,398.06800000000004,33.572
