,interaction,reward,relative_interaction,hyp_discovered_before,scenario_number,datetime
0,1.0,1.562,-17.0,-5.0,4,2024-01-26_20-57-23
1,2.0,-3.571,-16.0,-5.0,4,2024-01-26_20-57-23
2,3.0,0.0,-15.0,-5.0,4,2024-01-26_20-57-23
3,4.0,-3.571,-14.0,-5.0,4,2024-01-26_20-57-23
4,5.0,0.0,-13.0,-5.0,4,2024-01-26_20-57-23
5,6.0,-2.857,-12.0,-5.0,4,2024-01-26_20-57-23
6,7.0,3.571,-11.0,-5.0,4,2024-01-26_20-57-23
7,8.0,3.81,-10.0,-5.0,4,2024-01-26_20-57-23
8,9.0,0.0,-9.0,-5.0,4,2024-01-26_20-57-23
9,10.0,-3.846,-8.0,-5.0,4,2024-01-26_20-57-23
10,11.0,3.429,-7.0,-5.0,4,2024-01-26_20-57-23
11,12.0,3.571,-6.0,-5.0,4,2024-01-26_20-57-23
12,13.0,4.0,-5.0,-5.0,4,2024-01-26_20-57-23
13,14.0,3.636,-4.0,-5.0,4,2024-01-26_20-57-23
14,15.0,0.0,-3.0,-5.0,4,2024-01-26_20-57-23
15,16.0,3.571,-2.0,-5.0,4,2024-01-26_20-57-23
16,17.0,2.5,-1.0,-5.0,4,2024-01-26_20-57-23
17,18.0,3.429,0.0,-5.0,4,2024-01-26_20-57-23
18,19.0,4.0,,-5.0,4,2024-01-26_20-57-23
19,20.0,0.0,,-5.0,4,2024-01-26_20-57-23
20,21.0,3.429,,-5.0,4,2024-01-26_20-57-23
21,22.0,3.956,,-5.0,4,2024-01-26_20-57-23
22,23.0,3.571,,-5.0,4,2024-01-26_20-57-23
23,24.0,4.375,,-5.0,4,2024-01-26_20-57-23
24,25.0,4.0,7.0,-5.0,4,2024-01-26_20-57-23
25,1.0,-1.167,-13.0,6.0,2,2024-01-27_00-24-00
26,2.0,3.571,-12.0,6.0,2,2024-01-27_00-24-00
27,3.0,-4.167,-11.0,6.0,2,2024-01-27_00-24-00
28,4.0,0.781,-10.0,6.0,2,2024-01-27_00-24-00
29,5.0,3.571,-9.0,6.0,2,2024-01-27_00-24-00
30,6.0,2.344,-8.0,6.0,2,2024-01-27_00-24-00
31,7.0,0.0,-7.0,6.0,2,2024-01-27_00-24-00
32,8.0,0.893,-6.0,6.0,2,2024-01-27_00-24-00
33,9.0,-2.857,-5.0,6.0,2,2024-01-27_00-24-00
34,10.0,1.27,-4.0,6.0,2,2024-01-27_00-24-00
35,11.0,3.571,-3.0,6.0,2,2024-01-27_00-24-00
