agent_type,scenario,reward_per_1199_mean,reward_per_1199_sem
"Hypothetical
 Minds",0,13.28133594856329,6.936814200269464
"Hypothetical
 Minds",1,-2.60675073196252,3.3811894615142686
"Hypothetical
 Minds",2,16.149669327206187,3.9405564401179323
"Hypothetical
 Minds",3,11.562447974569984,4.491061834315935
"Hypothetical
 Minds",4,-2.6478221967965743,5.713104457943266
"Hypothetical
 Minds",5,21.821812795772253,3.0368862366841354
"Hypothetical
 Minds",6,24.928304822256194,2.52415592091906
"Hypothetical
 Minds",7,32.0537193714996,1.7921022912279356
PPO,0,-0.4827157961086533,1.4820369018558863
PPO,1,-0.3617985585842729,1.0107392963397557
PPO,2,-0.9526799954431535,1.1013357583023609
PPO,3,1.3227670246420242,1.4042295934463929
PPO,4,-2.0709859584859585,0.9929355669839428
PPO,5,1.718488604649319,0.8062385089546991
PPO,6,-2.4374698218448225,1.0111009397694675
PPO,7,0.8995837495837498,0.9341671635930224
PlanReAct,0,-8.001795151903478,4.075384162068861
PlanReAct,1,0.8934661293965835,3.5917091203172133
PlanReAct,2,2.0767445593521456,3.1584498539120474
PlanReAct,3,0.9018701378405604,3.6047746689283993
PlanReAct,4,-2.431736024799439,3.094592392622971
PlanReAct,5,-7.128388702571739,2.00164100087903
PlanReAct,6,-3.998454579886217,3.0532035569470835
PlanReAct,7,-0.16763543001811199,2.619909972458481
ReAct,0,3.5214268986015482,3.1680980913792576
ReAct,1,-5.638640004772118,4.014586455346929
ReAct,2,-4.350175860925121,1.9986737789425297
ReAct,3,-4.249268407153734,3.6291511019533047
ReAct,4,-1.1528431457439308,3.274786071360273
ReAct,5,-4.344314903083965,3.1273705349767336
ReAct,6,-10.735693827080672,2.4518115320738247
ReAct,7,11.55294399505178,2.0089249038358505
Reflexion,0,1.1075989118819947,3.5871847799386076
Reflexion,1,-1.8369843195174211,2.308776945710732
Reflexion,2,-1.6567676355703256,2.238183688516837
Reflexion,3,1.6028551368702018,2.2149920906529434
Reflexion,4,10.64331259550868,2.163847894484045
Reflexion,5,1.4479542404400187,2.0132250472808066
Reflexion,6,-1.0997581027566077,1.3461522282900957
Reflexion,7,11.749446252890582,4.452201311114147
