,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime
0,hm,0,-0.0499999999999989,1699,14,26.807523703575136,8.988730000000002,2024-05-13_20-50-28
1,hm,5,9.636,1099,7,37.84214818874995,9.04856,2024-05-13_22-26-45
2,hm,0,3.915,1199,10,20.27234611908595,7.014070000000001,2024-05-13_23-27-09
3,hm,1,15.249999999999998,1899,12,36.82737836440404,13.12012,2024-05-13_23-47-30
4,hm,2,-0.3449999999999988,1599,12,36.29821804364522,13.024680000000004,2024-05-14_00-24-33
5,hm,3,9.361,1699,13,30.56731036106745,8.917300000000001,2024-05-14_09-48-30
6,hm,4,16.197000000000003,1199,7,25.069150404135385,8.802380000000003,2024-05-14_10-19-11
7,hm,5,14.029,1199,9,25.54686007499695,8.100330000000001,2024-05-14_10-44-20
8,hm,6,27.611,1099,9,17.906985318660738,5.3110800000000005,2024-05-14_11-09-59
9,hm,7,30.79,1199,7,29.807480756441752,11.086140000000002,2024-05-14_11-28-00
10,hm,6,28.710000000000004,1099,9,21.830759143829347,6.55232,2024-05-14_23-39-33
11,hm,5,33.074,1599,14,65.14711878697078,8.595700000000003,2024-05-15_14-48-41
12,react_old,0,-0.8169999999999993,1199,11,9.617242781321208,4.5586400000000005,2024-05-15_16-04-28
13,hm,0,8.536999999999999,1499,12,24.935839347044627,8.21842,2024-05-15_15-55-02
14,react_old,1,-0.1370000000000006,1799,13,19.51311130921046,10.57666,2024-05-15_16-14-13
15,reflexion,0,7.525,1399,11,22.840927278995515,8.027410000000001,2024-05-15_16-19-51
16,hm,1,2.5089999999999995,1399,12,26.66190735499064,9.17383,2024-05-15_16-20-05
17,react_old,2,-20.731000000000005,1699,15,15.596961641311646,7.723710000000001,2024-05-15_16-33-52
18,react_old,3,2.134999999999999,1499,11,14.616535592079163,7.699,2024-05-15_16-49-35
19,hm,2,26.267,1399,11,22.468246813615163,8.56542,2024-05-15_16-46-53
20,react_old,4,-6.045999999999999,1099,9,8.936850766340891,4.27201,2024-05-15_17-04-18
21,reflexion,1,0.484,1599,13,31.191357672214508,11.430400000000002,2024-05-15_16-42-48
22,react_old,5,12.706,1699,16,12.64630357424418,5.81662,2024-05-15_17-13-20
23,hm,3,16.011,1199,7,20.689093124866485,8.69792,2024-05-15_17-09-28
24,reflexion,2,-3.5340000000000003,1199,10,16.181841508547464,5.59477,2024-05-15_17-14-07
25,react_old,6,-16.507,1499,12,13.76401208639145,7.011630000000002,2024-05-15_17-26-06
26,hm,4,1.842000000000001,1399,13,23.39890310366949,6.803730000000001,2024-05-15_17-30-15
27,react_old,7,1.064,1199,7,18.284143622716268,10.307179999999994,2024-05-15_17-39-57
28,reflexion,3,-13.418,1599,13,35.86307159264882,11.04291,2024-05-15_17-30-25
29,hm,6,39.399,1599,12,27.016490157445272,9.882350000000002,2024-05-15_17-53-46
30,reflexion,4,16.735,1099,8,25.317966838677723,8.57445,2024-05-15_18-06-29
31,reflexion,5,0.0610000000000003,1099,6,26.8604532400767,9.795930000000004,2024-05-15_18-31-54
32,hm,7,67.287,2399,17,39.38619510332743,15.65595,2024-05-15_18-20-53
33,reflexion,6,1.715,1499,12,32.60960193475088,11.987129999999995,2024-05-15_18-58-51
34,reflexion,7,15.29,1099,8,29.98951394955317,11.09993,2024-05-15_19-31-34
35,hm,0,1.7999999999999996,1099,9,28.09314546187719,5.505349999999999,2024-05-16_20-07-16
36,react_old,0,5.928,1399,11,28.436760358015697,6.784980000000003,2024-05-16_20-11-55
37,react_old,1,1.5799999999999992,1099,10,17.56889274517695,4.46564,2024-05-16_20-43-27
38,hm,1,3.545,1399,11,33.77288130919138,7.612799999999999,2024-05-16_20-38-08
39,reflexion,0,-15.604,1899,14,66.66234391530355,15.84207,2024-05-16_20-12-11
40,react_old,2,-7.0280000000000005,1099,9,18.707589316368104,4.51508,2024-05-16_21-01-10
41,hm,2,1.945,1199,8,32.96561082998912,6.377369999999999,2024-05-16_21-17-35
42,react_old,3,3.3199999999999985,1199,10,24.85025276343028,7.1272800000000025,2024-05-16_21-26-25
43,reflexion,1,-11.372,1199,10,37.95923144022624,9.31255,2024-05-16_21-25-27
44,react_old,4,0.9370000000000016,1299,9,21.532295167446136,6.6627300000000025,2024-05-16_21-51-47
45,hm,3,13.639,1399,12,32.95788829723994,8.964180000000002,2024-05-16_21-50-45
46,reflexion,2,1.778,1299,10,46.06467415889104,11.59452,2024-05-16_22-06-37
47,hm,4,-0.9299999999999996,1399,10,40.66549596786499,8.152579999999999,2024-05-16_22-29-30
48,react_old,5,-2.8680000000000025,3099,27,58.10242087046306,13.528499999999994,2024-05-16_22-14-09
49,reflexion,3,5.321000000000001,1299,10,36.06414398352305,7.4669500000000015,2024-05-16_23-00-23
50,react_old,6,-29.954,1899,15,36.956344898541765,12.331749999999996,2024-05-16_23-20-12
51,reflexion,4,10.377,1099,8,35.62198508183162,7.514970000000002,2024-05-16_23-36-41
52,react_old,7,12.963,1099,8,25.95566346645355,6.506309999999999,2024-05-16_23-57-55
53,hm,5,42.204,2599,20,68.96691989501318,17.497750000000014,2024-05-16_23-19-21
54,hm,6,27.778,1599,13,38.98253778616587,7.843610000000002,2024-05-17_00-29-47
55,reflexion,5,10.633,1999,18,49.12348918517431,11.04722,2024-05-17_00-20-22
56,reflexion,6,-6.383999999999999,1299,11,47.75159511963526,9.850110000000004,2024-05-17_01-09-41
57,hm,7,40.523,1899,14,56.21740983724594,13.43813,2024-05-17_01-09-09
58,reflexion,7,24.412000000000003,1299,8,38.54532475868861,9.8332,2024-05-17_01-57-45
59,reflexion,0,7.845000000000001,1299,11,33.415164697170255,7.309039999999999,2024-05-17_13-00-50
60,react_old,0,6.1080000000000005,3299,28,47.652881467342375,16.09183000000001,2024-05-17_13-00-41
61,hm,0,1.7109999999999994,2599,20,60.85976982911428,16.892559999999996,2024-05-17_13-00-41
62,react_old,1,-8.803999999999998,1699,13,22.847225252787272,8.036880000000002,2024-05-17_13-49-58
63,reflexion,1,4.147999999999999,1599,12,38.25020749171575,12.125679999999996,2024-05-17_13-36-47
64,react_old,2,-6.944000000000001,1599,14,21.359330562750497,6.187270000000002,2024-05-17_14-13-15
65,hm,1,-15.332999999999998,1699,13,36.45390510559082,9.6483,2024-05-17_14-06-01
66,reflexion,2,-12.785,1499,12,40.70210731426875,11.73338,2024-05-17_14-15-22
67,react_old,3,-6.465,1499,12,20.013513378302257,6.95241,2024-05-17_14-38-02
68,hm,2,13.469,1399,11,32.85221361716588,7.634280000000001,2024-05-17_14-42-40
69,react_old,4,7.163,1299,12,15.038149472077688,4.35798,2024-05-17_15-03-21
70,reflexion,3,-0.2460000000000004,1099,9,34.433284282684326,9.709700000000002,2024-05-17_15-03-20
71,hm,3,-1.5559999999999998,1199,9,29.840588160355885,6.188050000000001,2024-05-17_15-15-41
72,react_old,5,-8.718,1499,13,29.00159885485967,8.04682,2024-05-17_15-18-45
73,reflexion,4,9.844,1099,9,28.25868857304255,7.313679999999999,2024-05-17_15-38-11
74,react_old,6,-37.76500000000001,2199,15,28.55491267840068,12.231030000000002,2024-05-17_15-47-56
75,react_old,7,21.321,1499,11,19.497026252746583,8.506880000000002,2024-05-17_16-16-45
76,react_old,0,2.157000000000001,1099,10,13.330930956204732,5.052840000000002,2024-05-17_21-36-11
77,hm,0,15.844,1199,10,21.327494100729623,7.117079999999999,2024-05-17_21-35-47
78,react_old,0,-18.309,1199,8,15.37100959221522,4.8086600000000015,2024-05-17_21-49-45
79,reflexion,0,10.0,1499,11,40.006681843598685,13.22539,2024-05-17_21-36-00
80,hm,0,15.634,1199,10,24.251702888806665,5.933550000000001,2024-05-17_21-57-22
81,react_old,1,-3.475999999999999,1099,9,15.196617476145429,6.144270000000001,2024-05-17_22-06-43
82,react_old,1,1.7820000000000005,1099,8,14.489203310012815,5.17687,2024-05-17_22-22-06
83,reflexion,0,-2.0970000000000004,1399,11,29.88179305791855,8.463730000000002,2024-05-17_22-16-32
84,hm,1,5.6480000000000015,1299,9,25.20723440249761,8.19938,2024-05-17_22-21-44
85,react_old,2,-22.041,1299,9,17.234185520807902,7.558900000000003,2024-05-17_22-36-51
86,react_old,2,-0.9949999999999994,1099,9,15.60474488735199,3.84742,2024-05-17_22-54-35
87,reflexion,1,2.234,1399,9,35.33446047703425,12.382130000000002,2024-05-17_22-46-50
88,hm,1,-17.751999999999995,1999,13,38.75044201612472,14.540480000000002,2024-05-17_22-47-10
89,react_old,3,-10.535000000000002,1999,16,20.98039912780126,9.471489999999998,2024-05-17_23-10-48
90,react_old,3,-5.275,1199,10,16.99736012617747,6.440620000000001,2024-05-17_23-37-29
91,hm,2,25.045,1399,11,28.82268134752909,8.253180000000002,2024-05-17_23-26-08
92,react_old,4,2.813,1199,10,14.65817008415858,6.431780000000001,2024-05-17_23-54-55
93,hm,2,17.873,1099,10,17.774545856316884,5.258630000000001,2024-05-17_23-55-56
94,reflexion,1,0.5450000000000008,2199,18,53.06638521750768,19.28125,2024-05-17_23-22-16
95,react_old,4,-3.5729999999999995,1899,16,20.49779887596766,8.894699999999998,2024-05-18_00-09-42
96,hm,3,28.722,1299,10,22.9807391444842,7.960190000000003,2024-05-18_00-13-50
97,react_old,5,-14.012,1299,10,15.093187316258748,6.152420000000001,2024-05-18_00-31-19
98,reflexion,2,-5.968999999999999,1499,11,33.47602322101593,11.859550000000006,2024-05-18_00-15-57
99,react_old,5,-27.978,1299,11,12.314057079950969,5.762760000000001,2024-05-18_00-46-32
100,hm,3,18.542,2099,17,30.97461149295172,10.32556,2024-05-18_00-37-29
101,reflexion,2,-5.832000000000001,1199,9,20.015446877479555,6.94388,2024-05-18_00-49-44
102,react_old,6,-19.661,1399,12,14.484951134522756,5.05688,2024-05-18_00-58-59
103,react_old,6,-11.634000000000002,1199,10,12.34025373061498,5.27598,2024-05-18_01-14-18
