,agent_type,scenario,reward,steps,duration,cost,datetime,gpt_version,interaction_num
0,v4,7,58.179,1199,45.37898451884588,6.470270000000003,2024-01-24_14-31-47,,
1,v3,0,58.88200000000001,1199,39.40259413719177,5.344880000000003,2024-01-24_14-58-10,,
2,v2,0,64.422,1499,58.90988396406173,6.532410000000003,2024-01-24_14-51-51,,
3,v3,0,46.845,1199,38.90707299311956,5.730139999999998,2024-01-24_15-39-00,,
4,v2,0,76.084,1499,58.79695367018382,7.342499999999999,2024-01-24_15-39-44,,
5,v3,1,7.748,1599,68.03303113778432,11.543200000000006,2024-01-24_15-37-30,,
6,v2,1,-10.830000000000002,1399,57.51871532599132,6.655370000000002,2024-01-24_15-50-44,,
7,v3,1,4.565,1399,50.19258301258087,7.700800000000003,2024-01-24_16-17-54,,
8,v4,0,140.835,3099,111.6463191787402,18.32263999999999,2024-01-24_15-30-43,,
9,v4,0,94.97,1999,64.87221047878265,10.119140000000003,2024-01-24_16-20-27,,
10,v2,2,27.544,1099,45.59706716140112,6.33212,2024-01-24_16-48-16,,
11,v3,2,93.77500000000003,1699,54.871376780668896,7.64313,2024-01-24_16-45-42,,
12,v4,1,-1.0970000000000018,1299,64.50686581134796,9.635889999999996,2024-01-24_17-25-15,,
13,v3,3,78.03800000000001,1599,61.77142860094706,9.11127,2024-01-24_17-40-32,,
14,v3,2,67.854,1599,60.911284788449606,8.193950000000001,2024-01-24_17-46-35,,
15,v4,1,36.503,2199,85.66120843092601,12.57783999999999,2024-01-24_17-22-19,,
16,v2,1,-2.264,1299,64.4388217886289,7.270680000000003,2024-01-24_17-45-39,,
17,v4,5,2.2090000000000005,1499,76.15483850240707,12.990809999999998,2024-01-24_17-44-56,,
18,v2,3,47.21,2099,89.69105116526286,9.10444,2024-01-24_17-33-56,,
19,v4,2,43.277,1099,42.34589888652166,5.888740000000002,2024-01-24_18-29-49,,
20,v2,2,23.135,1099,53.88659520149231,5.887830000000001,2024-01-24_18-50-07,,
21,v3,3,70.44200000000001,1399,58.90666251977285,7.35825,2024-01-24_18-47-34,,
22,v4,2,-1.7129999999999992,1399,65.9509737610817,9.74493,2024-01-24_18-48-01,,
23,v2,4,30.006000000000004,1099,51.660344239075975,5.7262800000000045,2024-01-24_19-03-34,,
24,v4,6,68.77,1499,59.61214762131373,8.211320000000006,2024-01-24_19-01-07,,
25,v4,3,23.635,1099,42.373450422286986,4.95349,2024-01-24_19-54-05,,
26,v2,3,19.687,1199,53.94161730209986,4.755349999999998,2024-01-24_19-44-07,,
27,v2,5,28.915,1099,56.819579716523485,7.217549999999996,2024-01-24_19-55-09,,
28,v2,4,52.184000000000005,1399,58.95785303513209,7.145580000000004,2024-01-24_20-37-57,,
29,v2,6,126.797,2599,109.45475879510244,14.02312999999999,2024-01-24_20-51-59,,
30,v2,5,20.23,1399,75.70673559904098,10.182650000000004,2024-01-24_21-36-53,,
31,v2,6,32.103,1099,54.58818456729253,5.545260000000003,2024-01-24_22-52-36,,
32,v4,4,21.195,1199,53.069697332382205,6.72317,2024-01-24_23-14-52,,
33,v4,0,48.51899999999999,1199,50.39641420841217,6.2237800000000005,2024-01-24_23-17-38,,
34,v2,7,72.779,1799,100.61335131724675,9.328410000000009,2024-01-24_22-41-28,,
35,v3,4,36.681,1599,81.30138392448426,9.4905,2024-01-24_23-13-20,,
36,v2,7,53.38499999999999,1199,56.93656869331996,5.47548,2024-01-24_23-47-11,,
37,v4,1,20.380000000000003,1099,47.41985943317413,5.411749999999998,2024-01-25_00-07-58,,
38,v2,8,40.832000000000015,1299,55.813641333580016,5.64701,2024-01-25_00-22-03,,
39,v4,5,6.481000000000001,1299,75.04361735979715,10.882760000000006,2024-01-25_00-07-50,,
40,v4,2,38.879,1099,39.99778665304184,4.748749999999999,2024-01-25_00-55-25,,
41,v3,5,21.764000000000003,1099,63.49871794382731,8.554090000000004,2024-01-25_00-34-35,,
42,v2,8,85.033,2399,117.81107570727666,12.62288,2024-01-25_00-44-05,,
43,v4,3,-6.847,1399,70.60395894050598,9.59288,2024-01-25_01-35-27,,
44,v4,4,24.649,1199,55.29332355260849,7.400959999999998,2024-01-25_02-46-02,,
45,v1,0,35.183,1399,29.46006508668264,4.488980000000001,2024-01-25_10-31-46,,
46,v3,0,37.515,1099,41.57000643809637,5.4310800000000015,2024-01-25_10-40-54,,
47,v1,1,-2.8729999999999984,1399,32.76648869117101,5.076710000000001,2024-01-25_11-01-11,,
48,v3,6,84.34,1599,63.62528603076935,7.883520000000002,2024-01-25_10-40-19,,
49,v2,0,78.937,1699,75.85885740121206,7.910879999999999,2024-01-25_10-28-56,,
50,v4,5,41.059,1599,87.69392968416214,12.865660000000007,2024-01-25_10-45-07,,
51,v3,1,27.821,1299,60.170820573965706,7.520640000000002,2024-01-25_11-22-27,,
52,v2,0,116.835,2699,117.6206665555636,12.847369999999996,2024-01-25_10-30-33,,
53,v3,7,31.076,1299,58.47681083281835,8.124360000000003,2024-01-25_11-43-56,,
54,v1,0,10.634,1199,24.21126701037089,3.347120000000002,2024-01-25_12-21-31,,
55,v1,0,5.220000000000002,1699,34.064712981383,5.07819,2024-01-25_12-21-09,,
56,v4,6,55.89699999999999,1299,49.81722366015117,6.649679999999998,2024-01-25_12-12-48,,
