,agent_type,scenario,reward,datetime,steps,cost,duration
0,v3,1,0.0,2024-01-22_16-19-25,,,
1,v3,1,22.565,2024-01-22_16-20-48,,,
2,v3,2,38.88,2024-01-22_17-16-00,,,
3,v3,3,18.408,2024-01-22_17-59-54,1099.0,,
4,v2,0,57.752,2024-01-22_18-36-48,1899.0,11.014499999999998,
5,v2,1,5.09,2024-01-22_20-17-59,1099.0,4.909190000000002,
6,v3,0,52.179,2024-01-22_20-32-41,1199.0,5.339650000000002,35.59671972592672
7,v2,2,0.0,2024-01-22_21-14-12,0.0,0.07073,0.7041288018226624
8,v2,2,0.0,2024-01-22_21-38-44,0.0,0.1135,0.9896194259325664
9,v3,0,0.0,2024-01-22_22-43-16,20.0,0.1642,1.3042340914408366
10,v3,0,36.601,2024-01-22_21-49-33,1299.0,8.748190000000003,58.46586550474167
11,v2,2,101.463,2024-01-22_21-40-35,2199.0,11.506820000000005,88.58736364444097
12,v3,4,54.48,2024-01-22_22-48-01,1399.0,6.385069999999995,51.53872488737106
13,v2,3,33.402,2024-01-22_23-09-15,1699.0,8.63483,79.24050788879394
14,v2,4,-6.831999999999999,2024-01-23_00-28-27,1799.0,10.204020000000003,96.4726706067721
15,v2,5,5.981,2024-01-23_02-04-51,1099.0,9.054709999999996,66.94319845835368
16,v2,6,52.87899999999999,2024-01-23_03-11-48,1199.0,6.015289999999997,57.68996959527333
17,v2,7,30.538,2024-01-23_04-09-30,1199.0,4.98736,62.74105641444524
18,v3,6,21.207,2024-01-23_04-53-37,1199.0,6.750130000000001,60.37992173433304
19,v4,0,56.39799999999999,2024-01-23_04-56-01,1199.0,6.476180000000003,62.0269592165947
20,v4,3,54.084,2024-01-23_05-58-07,1099.0,4.918139999999998,49.83839659293493
21,v2,8,72.904,2024-01-23_05-12-13,2099.0,9.907080000000004,109.43912016948065
22,v3,7,22.227,2024-01-23_05-54-01,1299.0,8.193680000000004,81.1636367281278
23,v4,8,43.133,2024-01-23_06-47-50,1599.0,10.22634,93.33318311373392
24,v4,0,53.95299999999999,2024-01-23_08-15-47,1199.0,5.828000000000001,58.6654940366745
25,v4,1,115.919,2024-01-21_10-32-46,2499.0,0.0,0.0
26,v4,2,38.183,2024-01-21_21-13-08,1099.0,0.0,0.0
27,v4,4,46.095,2024-01-21_22-08-26,1099.0,0.0,0.0
28,v4,5,18.298,2024-01-21_22-55-29,1299.0,0.0,0.0
29,v4,6,72.582,2024-01-22_00-13-55,1499.0,0.0,0.0
30,v4,7,78.09,2024-01-22_01-26-18,1899.0,0.0,0.0
31,v1,0,27.755,2024-01-23_04-54-43,1099.0,0.0,0.0
32,v3,8,153.319,2024-01-23_07-15-10,2899.0,0.0,0.0
33,v3,5,37.217,2024-01-22_23-39-32,1596.0,0.0,0.0
34,v1,8,42.7,2024,1099.0,0.0,0.0
35,v1,8,14.6,2024,1099.0,0.0,0.0
36,v1,8,11.9,2024,1099.0,0.0,0.0
37,v1,7,12.42,2024,1099.0,0.0,0.0
38,v1,7,70.7,2024,2299.0,0.0,0.0
39,v1,7,18.58,2024,1787.0,0.0,0.0
40,v1,6,49.389,2024,986.0,0.0,0.0
41,v1,6,45.155,2024,1099.0,0.0,0.0
42,v1,6,23.59,2024,675.0,0.0,0.0
43,v1,1,17.26,2024,1499.0,0.0,0.0
44,v1,1,-0.57,2024,1099.0,0.0,0.0
45,v3,8,153.319,2024-01-23_07-15-10,2899.0,14.778580000000002,131.38714323043823
46,v4,3,31.314,2024-01-23_09-14-30,1199.0,6.530020000000005,56.43360183238983
47,v1,1,0.0,2024-01-23_10-16-32,5.0,0.03485,0.2864530285199483
48,v1,2,11.304,2024-01-23_10-23-11,1099.0,3.44811,23.39877457221349
49,v3,1,-10.836,2024-01-23_10-03-43,1399.0,11.223060000000006,93.22570796807608
50,v1,2,69.998,2024-01-23_12-04-52,1899.0,7.05596,41.8897270321846
51,v1,3,27.64200000000001,2024-01-23_16-12-09,1699.0,6.0218,31.34458943605423
52,v1,4,25.416,2024-01-23_16-43-20,1099.0,3.911550000000001,19.293566993872325
53,v3,0,55.217,2024-01-23_16-30-38,1099.0,5.756549999999998,36.30535371303559
54,v2,0,78.27,2024-01-23_16-31-16,1999.0,11.736160000000002,86.7144408941269
55,v4,0,80.44100000000002,2024-01-23_17-05-22,1499.0,7.66731,54.69887412786484
56,v3,1,58.38399999999999,2024-01-23_17-06-51,1699.0,11.05286,77.05772587060929
57,v4,5,9.787,2024-01-23_17-54-18,1099.0,10.847850000000005,69.07705631653468
58,v4,1,33.658,2024-01-23_18-00-00,1599.0,9.456929999999998,67.86198268334071
59,v3,2,82.91700000000002,2024-01-23_18-23-58,1599.0,7.891600000000001,63.27373211383819
60,v4,2,74.25200000000001,2024-01-23_19-07-56,1399.0,7.403290000000003,52.24832804600398
61,v2,1,54.59,2024-01-23_17-57-55,3299.0,18.03623,151.44810057083765
62,v3,3,40.93,2024-01-23_19-27-17,1899.0,8.508220000000001,62.88598191340764
63,v4,3,34.928,2024-01-23_20-00-13,1099.0,8.434559999999998,51.01293381055197
64,v2,2,58.707,2024-01-23_20-29-25,1099.0,5.264310000000002,41.60665103991826
65,v4,4,19.286,2024-01-23_20-51-10,1499.0,10.04660999999999,75.33945680459341
66,v2,3,41.73499999999999,2024-01-23_21-11-05,1899.0,10.870409999999987,98.318956553936
67,v4,5,13.425,2024-01-23_22-06-27,1199.0,10.198070000000008,76.12906510432562
68,v4,6,63.026,2024-01-23_23-22-35,1499.0,6.267069999999999,54.98251477479935
69,v4,7,11.04,2024-01-24_00-17-34,1199.0,8.127749999999999,65.57565032243728
70,v4,8,53.90500000000001,2024-01-24_09-41-22,1099.0,4.73238,38.84879219532013
71,v2,4,20.553,2024-01-24_09-35-04,1199.0,5.72093,56.28222660621008
72,v3,4,105.45300000000002,2024-01-24_09-39-12,2099.0,10.183679999999995,76.31944345235824
73,v2,5,16.012,2024-01-24_10-31-18,1199.0,6.673440000000001,54.885224962234496
74,v4,0,86.18400000000001,2024-01-24_10-20-14,1899.0,9.950880000000003,76.63628064393997
75,v4,1,56.106,2024-01-24_11-36-51,2199.0,12.650140000000013,83.8871025244395
76,v2,6,123.43300000000002,2024-01-24_11-26-11,2399.0,12.45322999999999,95.59120486577352
77,v4,2,3.5970000000000013,2024-01-24_13-00-46,1099.0,8.359619999999996,52.37298032840093
78,v2,7,73.946,2024-01-24_13-01-47,1699.0,7.891910000000001,71.38125237226487
